rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
10450,1001–1200,Durban University of Technology,28.3–32.6,10450,17.3,1608,11.8,1425,62.0,734,18.4,1635,46.5,917,South Africa,"27,163",35.3,1%,55 : 45,37%,Durban University of Technology,"Art, Performing Arts & Design,Chemistry,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Law,Geography,Archaeology,Sociology,General Engineering,Biological Sciences,Psychology,Computer Science,Civil Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Other Health,Economics & Econometrics,Communication & Media Studies,Education,Electrical & Electronic Engineering,Agriculture & Forestry,Mathematics & Statistics,Architecture,Sport Science",False,False
10460,1001–1200,University of East London,28.3–32.6,10460,21.8,1246,15.1,1113,41.0,1202,28.2,1231,84.9,190,United Kingdom,"14,480",26.1,52%,56 : 44,18%,University of East London,"Biological Sciences,Art, Performing Arts & Design,Architecture,Chemistry,Business & Management,Education,Psychology,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Communication & Media Studies,Civil Engineering,Law,General Engineering,Electrical & Electronic Engineering,Sociology,Accounting & Finance,Politics & International Studies (incl Development Studies),Sport Science",False,False
10470,1001–1200,Edge Hill University,28.3–32.6,10470,18.1,1541,13.8,1224,55.6,875,22.0,1439,54.7,682,United Kingdom,"11,910",16.4,6%,70 : 30,18%,Edge Hill University,"Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Economics & Econometrics,Other Health,Medicine & Dentistry,Sociology,Geography,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Psychology,Art, Performing Arts & Design,Communication & Media Studies,Business & Management,Sport Science,Biological Sciences,Accounting & Finance,Computer Science",False,False
10480,1001–1200,"University of Engineering and Technology, Peshawar",28.3–32.6,10480,13.7,1815,11.5,1461,60.9,758,25.0,1337,49.8,806,Pakistan,"9,307",21.7,2%,6 : 94,51%,"University of Engineering and Technology, Peshawar","Architecture,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Electrical & Electronic Engineering,General Engineering",False,False
10490,1001–1200,University of Engineering & Technology (UET) Lahore,28.3–32.6,10490,18.8,1477,9.9,1651,53.5,933,24.1,1364,50.6,788,Pakistan,"12,720",13.4,2%,29 : 71,46%,University of Engineering & Technology (UET) Lahore,"Accounting & Finance,Physics & Astronomy,Computer Science,Electrical & Electronic Engineering,Civil Engineering,General Engineering,Business & Management,Chemical Engineering,Mathematics & Statistics,Chemistry,Mechanical & Aerospace Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences",False,False
10500,1001–1200,European University of Madrid,28.3–32.6,10500,21.5,1264,10.9,1537,54.3,907,17.7,1686,61.7,549,Spain,"11,416",12.0,30%,50 : 50,11%,European University of Madrid,"Civil Engineering,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics,Law,Art, Performing Arts & Design,Sport Science,Psychology,Medicine & Dentistry,Physics & Astronomy,Biological Sciences,Business & Management,Veterinary Science,Education,Computer Science,Communication & Media Studies,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Geology, Environmental, Earth & Marine Sciences",False,False
10510,1001–1200,University of Extremadura,28.3–32.6,10510,24.7,1026,12.4,1362,51.9,967,22.4,1421,35.7,1290,Spain,"20,146",10.7,3%,55 : 45,29%,University of Extremadura,"Civil Engineering,Geography,Other Health,Physics & Astronomy,Agriculture & Forestry,General Engineering,Communication & Media Studies,Medicine & Dentistry,Education,Veterinary Science,Chemical Engineering,Law,Mathematics & Statistics,Economics & Econometrics,Sport Science,History, Philosophy & Theology,Chemistry,Computer Science,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Psychology,Biological Sciences,Accounting & Finance",False,False
10520,1001–1200,Fayoum University,28.3–32.6,10520,15.9,1702,11.9,1416,65.5,664,24.9,1340,46.4,921,Egypt,"46,689",18.0,0%,62 : 38,25%,Fayoum University,"Architecture,Other Health,Psychology,Mechanical & Aerospace Engineering,Law,Computer Science,Agriculture & Forestry,General Engineering,Sociology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Civil Engineering,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Chemistry,History, Philosophy & Theology,Archaeology,Geography,Sport Science,Education,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Medicine & Dentistry",False,False
10530,1001–1200,Federal University of São Carlos,28.3–32.6,10530,33.4,525,19.8,825,33.5,1369,44.8,898,29.5,1518,Brazil,"21,119",16.1,1%,51 : 49,32%,Federal University of São Carlos,"Chemical Engineering,Sociology,History, Philosophy & Theology,Chemistry,General Engineering,Medicine & Dentistry,Business & Management,Education,Geography,Civil Engineering,Computer Science,Biological Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Physics & Astronomy,Other Health,Communication & Media Studies,Agriculture & Forestry,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sport Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False
10540,1001–1200,Federal University of Technology Akure,28.3–32.6,10540,24.8,1018,11.1,1510,50.6,1006,18.2,1650,40.4,1107,Nigeria,"19,711",24.5,0%,26 : 74,35%,Federal University of Technology Akure,"Electrical & Electronic Engineering,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,Chemistry,Architecture,Agriculture & Forestry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Accounting & Finance,Business & Management,Other Health,Civil Engineering,General Engineering",False,False
10550,1001–1200,Financial University under the Government of the Russian Federation,28.3–32.6,10550,26.7,892,18.0,917,50.3,1017,30.9,1160,34.5,1339,Russian Federation,"16,580",13.0,9%,51 : 49,21%,Financial University under the Government of the Russian Federation,"Mathematics & Statistics,Politics & International Studies (incl Development Studies),Sociology,Computer Science,Business & Management,Law,Economics & Econometrics,Accounting & Finance,Communication & Media Studies",False,False
10560,1001–1200,Firat University,28.3–32.6,10560,19.2,1453,10.3,1610,64.5,682,19.7,1548,31.5,1446,Turkey,"35,348",25.4,6%,49 : 51,28%,Firat University,"Chemical Engineering,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Education,Other Health,Biological Sciences,Geography,Civil Engineering,Sociology,Medicine & Dentistry,Sport Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Architecture,Physics & Astronomy,Computer Science,Veterinary Science,Economics & Econometrics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Accounting & Finance",False,False
10570,1001–1200,Florida Agricultural and Mechanical University,28.3–32.6,10570,33.4,526,16.7,992,39.8,1226,37.3,1033,50.3,797,United States,"8,850",15.7,1%,67 : 33,33%,Florida Agricultural and Mechanical University,"Civil Engineering,Economics & Econometrics,Biological Sciences,Mathematics & Statistics,Education,History, Philosophy & Theology,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Communication & Media Studies,Architecture,Sociology,Chemistry,Electrical & Electronic Engineering,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Geography,General Engineering",False,False
10580,1001–1200,University of Franche-Comté,28.3–32.6,10580,21.3,1281,15.7,1070,40.6,1212,44.9,896,70.6,400,France,"24,908",33.5,11%,58 : 42,32%,University of Franche-Comté,"Physics & Astronomy,Mechanical & Aerospace Engineering,Computer Science,Geography,Communication & Media Studies,Civil Engineering,Education,Other Health,Sociology,Business & Management,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,General Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Archaeology,Psychology,Agriculture & Forestry",False,False
10590,1001–1200,Fu Jen Catholic University,28.3–32.6,10590,24.0,1079,29.2,492,26.3,1533,65.5,538,31.1,1461,Taiwan,"16,382",27.2,6%,59 : 41,13%,Fu Jen Catholic University,"Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Sociology,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Archaeology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Architecture,Chemistry,Law,Sport Science,Medicine & Dentistry,General Engineering,Other Health,Education,Geography,Biological Sciences",False,False
10600,1001–1200,Fujian Agriculture and Forestry University,28.3–32.6,10600,18.3,1528,15.5,1083,62.0,735,34.8,1096,32.7,1398,China,"30,262",17.1,1%,53 : 47,20%,Fujian Agriculture and Forestry University,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Economics & Econometrics,Chemical Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Computer Science,Sociology,Civil Engineering",False,False
10610,1001–1200,Fujita Health University,28.3–32.6,10610,27.6,832,13.0,1302,55.4,881,53.3,746,22.3,1796,Japan,"3,071",3.6,1%,58 : 42,4%,Fujita Health University Fujita Gakuen Fujita Medical  Fujita Academy,"Medicine & Dentistry,Other Health,Biological Sciences",False,False
10620,1001–1200,Gauhati University,28.3–32.6,10620,36.2,420,26.6,552,23.3,1603,34.3,1107,22.2,1803,India,"6,817",17.3,0%,53 : 47,35%,Gauhati University,"Civil Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Agriculture & Forestry,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Psychology,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Sociology,Education,General Engineering,Politics & International Studies (incl Development Studies),Chemistry,Accounting & Finance",False,False
10630,1001–1200,Gdańsk University of Technology,28.3–32.6,10630,19.7,1400,17.0,974,48.3,1050,50.7,798,35.0,1318,Poland,"13,903",17.9,5%,38 : 62,47%,Gdańsk University of Technology,"Chemical Engineering,General Engineering,Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Civil Engineering,Mechanical & Aerospace Engineering",False,False
10640,1001–1200,University of Ghana,28.3–32.6,10640,14.9,1760,21.3,755,42.1,1182,37.3,1034,52.3,734,Ghana,"59,744",35.9,1%,49 : 51,16%,University of Ghana,"General Engineering,Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Business & Management,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Law,Physics & Astronomy,Psychology,Archaeology,Veterinary Science,Education,Agriculture & Forestry,Geography",False,False
10650,1001–1200,Gifu University,28.3–32.6,10650,30.6,659,23.2,678,29.5,1458,65.9,531,29.5,1519,Japan,"7,134",14.6,4%,38 : 62,19%,Gifu University,"Electrical & Electronic Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Agriculture & Forestry,Economics & Econometrics,General Engineering,Civil Engineering,Sociology,Education,Chemical Engineering,Other Health,Veterinary Science,Medicine & Dentistry,Business & Management,Biological Sciences",False,False
10660,1001–1200,GLA University,28.3–32.6,10660,16.8,1642,10.6,1571,63.9,692,16.0,1859,20.9,1846,India,"10,719",16.8,0%,29 : 71,41%,GLA University,"Chemistry,Biological Sciences,Mathematics & Statistics,Civil Engineering,Computer Science,Accounting & Finance,Mechanical & Aerospace Engineering,Law,Languages, Literature & Linguistics,Business & Management,Agriculture & Forestry,Electrical & Electronic Engineering,Education,Physics & Astronomy",False,False
